customer_id,연월,count
AS002855,201804,4
AS009013,201804,2
AS009373,201804,3
AS015315,201804,6
AS015739,201804,7
AS015746,201804,4
AS019860,201804,6
AS024181,201804,4
AS030404,201804,1
AS031206,201804,4
AS036678,201804,7
AS038564,201804,6
AS040841,201804,8
AS040860,201804,6
AS046594,201804,9
AS047907,201804,3
AS055659,201804,7
AS055680,201804,3
AS057808,201804,8
AS058623,201804,6
AS060041,201804,7
AS065870,201804,6
AS069821,201804,5
AS070625,201804,6
AS071660,201804,8
AS073168,201804,8
AS073285,201804,7
AS077151,201804,5
AS082596,201804,7
AS092144,201804,6
AS098763,201804,8
AS099118,201804,5
AS099984,201804,4
AS105107,201804,6
AS107662,201804,7
AS108195,201804,4
AS108507,201804,4
AS113826,201804,4
AS115107,201804,2
AS123220,201804,6
AS124354,201804,3
AS132988,201804,6
AS136184,201804,9
AS137764,201804,4
AS141460,201804,5
AS147168,201804,1
AS147485,201804,3
AS152185,201804,3
AS157629,201804,3
AS158438,201804,5
AS161071,201804,8
AS169823,201804,3
AS170379,201804,9
AS171842,201804,5
AS171994,201804,5
AS174345,201804,3
AS175707,201804,8
AS177253,201804,4
AS183155,201804,3
AS185951,201804,10
AS186727,201804,6
AS189336,201804,7
AS190883,201804,7
AS193568,201804,5
AS194595,201804,5
AS196653,201804,5
AS197200,201804,8
AS200286,201804,10
AS206541,201804,1
AS207011,201804,6
AS210846,201804,6
AS211705,201804,6
AS211927,201804,3
AS212221,201804,7
AS218636,201804,4
AS220894,201804,7
AS222240,201804,8
AS227898,201804,5
AS235724,201804,9
AS237205,201804,8
AS240190,201804,4
AS240586,201804,7
AS248090,201804,6
AS248948,201804,7
AS251112,201804,3
AS251169,201804,7
AS256239,201804,6
AS258098,201804,3
AS259792,201804,4
AS263080,201804,4
AS272193,201804,9
AS273414,201804,8
AS275166,201804,2
AS275287,201804,6
AS275753,201804,4
AS280744,201804,4
AS282618,201804,7
AS288339,201804,5
AS288569,201804,9
AS294655,201804,7
AS297966,201804,6
AS299544,201804,2
AS303294,201804,4
AS305652,201804,10
AS305860,201804,3
AS309101,201804,1
AS310564,201804,1
AS311628,201804,5
AS319907,201804,9
AS320552,201804,5
AS321794,201804,9
AS335390,201804,5
AS339451,201804,4
AS342526,201804,5
AS345469,201804,7
AS345508,201804,5
AS346579,201804,3
AS347661,201804,2
AS351574,201804,3
AS352209,201804,4
AS353422,201804,8
